Field,Type,Calculated,Description,Reference
beds,integer,,The number of bed(s),
amenities,json,,,
price,currency,,"daily price in local currency.
NOTE: the $ sign is a technical artifact of the export, please ignore it",
minimum_nights,integer,,minimum number of night stay for the listing (calendar rules may be different),
maximum_nights,integer,,maximum number of night stay for the listing (calendar rules may be different),
minimum_minimum_nights,integer,y,the smallest minimum_night value from the calender (looking 365 nights in the future),
maximum_minimum_nights,integer,y,the largest minimum_night value from the calender (looking 365 nights in the future),
minimum_maximum_nights,integer,y,the smallest maximum_night value from the calender (looking 365 nights in the future),
maximum_maximum_nights,integer,y,the largest maximum_night value from the calender (looking 365 nights in the future),
minimum_nights_avg_ntm,numeric,y,the average minimum_night value from the calender (looking 365 nights in the future),
maximum_nights_avg_ntm,numeric,y,the average maximum_night value from the calender (looking 365 nights in the future),
calendar_updated,date,,,
has_availability,boolean,,[t=true; f=false],
availability_30,integer,y,avaliability_x. The availability of the listing x days in the future as determined by the calendar. Note a listing may not be available because it has been booked by a guest or blocked by the host.,
availability_60,integer,y,avaliability_x. The availability of the listing x days in the future as determined by the calendar. Note a listing may not be available because it has been booked by a guest or blocked by the host.,
availability_90,integer,y,avaliability_x. The availability of the listing x days in the future as determined by the calendar. Note a listing may not be available because it has been booked by a guest or blocked by the host.,
availability_365,integer,y,avaliability_x. The availability of the listing x days in the future as determined by the calendar. Note a listing may not be available because it has been booked by a guest or blocked by the host.,
calendar_last_scraped,date,,,
number_of_reviews,integer,,The number of reviews the listing has,
number_of_reviews_ltm,integer,y,The number of reviews the listing has (in the last 12 months),
number_of_reviews_l30d,integer,y,The number of reviews the listing has (in the last 30 days),
first_review,date,y,The date of the first/oldest review,
last_review,date,y,The date of the last/newest review,
review_scores_rating,,,,
review_scores_accuracy,,,,
review_scores_cleanliness,,,,
review_scores_checkin,,,,
review_scores_communication,,,,
review_scores_location,,,,
review_scores_value,,,,
license,text,,The licence/permit/registration number,
instant_bookable,boolean,,[t=true; f=false]. Whether the guest can automatically book the listing without the host requiring to accept their booking request. An indicator of a commercial listing.,
calculated_host_listings_count,integer,y,"The number of listings the host has in the current scrape, in the city/region geography.",
calculated_host_listings_count_entire_homes,integer,y,"The number of Entire home/apt listings the host has in the current scrape, in the city/region geography",
calculated_host_listings_count_private_rooms,integer,y,"The number of Private room listings the host has in the current scrape, in the city/region geography",
calculated_host_listings_count_shared_rooms,integer,y,"The number of Shared room listings the host has in the current scrape, in the city/region geography",
reviews_per_month,numeric,y,"The average number of reviews per month the listing has over the lifetime of the listing.

Psuedocoe/~SQL:

IF scrape_date - first_review <= 30 THEN number_of_reviews
ELSE number_of_reviews / ((scrape_date - first_review + 1) / (365/12))

",
price_clean,numeric,y,Cleaned price value with dollar signs and commas removed. Used as base for all price-related calculations.,
log_price,numeric,y,Natural logarithm of price_clean. Enables percentage-based interpretation and elasticity analysis.,
price_per_accommodates,numeric,y,Price divided by accommodates. Size-adjusted pricing metric for comparing properties.,
log_price_per_accommodates,numeric,y,Natural logarithm of price_per_accommodates. Log-transformed size-adjusted pricing.,
log_reviews,numeric,y,Natural logarithm of (number_of_reviews + 1). Uses log1p to handle zero values gracefully.,
log_accommodates,numeric,y,Natural logarithm of accommodates. Log-transformed guest capacity.,
log_beds,numeric,y,Natural logarithm of (beds + 1). Uses log1p to handle zero values.,
price_zscore,numeric,y,Z-score of price within city. Shows how many standard deviations above/below the city mean.,
price_percentile,numeric,y,Percentile rank of price within city (0-1 scale). 0 = cheapest, 1 = most expensive.,
log_price_zscore,numeric,y,Z-score of log_price within city. For relative percentage differences within market.,
reviews_zscore,numeric,y,Z-score of number_of_reviews within city. Standardized popularity/visibility metric.,
reviews_percentile,numeric,y,Percentile rank of number_of_reviews within city (0-1 scale). Visibility ranking.,
reviews_per_month_zscore,numeric,y,Z-score of reviews_per_month within city. Standardized activity velocity metric.,
estimated_occupancy_l365d,integer,y,Actual booked days in last 365 days (from Airbnb booking data). More accurate than calendar-based proxies as it excludes host-blocked days.,
occupancy_rate,numeric,y,True occupancy rate: estimated_occupancy_l365d / 365. Uses actual booked days (preferred metric). Note: Capped at 0.699 (69.9%) due to 255-day limit in estimated_occupancy_l365d.,
occupancy_is_capped,integer,y,Binary flag: 1 if estimated_occupancy_l365d = 255 (capped at 8-bit integer limit), 0 otherwise. Indicates listings where true occupancy may be higher than reported (no adjustment applied).,
calendar_unavailable_proxy,numeric,y,Calendar-based proxy: (365 - availability_365) / 365. Includes booked + host-blocked + maintenance days (less accurate than occupancy_rate). Full 0-1 range (not capped).,
est_annual_revenue,numeric,y,Estimated annual revenue: price_clean × estimated_occupancy_l365d. Uses actual booked days when available (preferred). Falls back to calendar availability if estimated_occupancy_l365d not available.,
est_annual_revenue_calendar,numeric,y,Calendar-based revenue estimate: price_clean × (365 - availability_365). Fallback metric when estimated_occupancy_l365d not available.,
revenue_per_accommodates,numeric,y,Revenue per guest capacity: est_annual_revenue / accommodates. Unit economics metric.,
revenue_per_bedroom,numeric,y,Revenue per bedroom: est_annual_revenue / bedrooms. Only calculated for listings with bedrooms > 0.,
log_est_revenue,numeric,y,Natural logarithm of est_annual_revenue. Log-transformed revenue for percentage analysis.,
host_listings_in_city,integer,y,Number of listings the host has in the current city (from calculated_host_listings_count).,
host_is_professional,integer,y,Binary indicator: 1 if host has 2+ listings in city, 0 otherwise. Professional hosts typically have different business models than casual hosts.,
host_professional_tier,text,y,Categorization of host by listing count: casual (1 listing), small_professional (2-5), medium_professional (6-20), large_professional (21+).,
pct_professional_hosts,numeric,y,Percentage of listings from hosts with 2+ properties in the city. Market-level professionalization metric.,
pct_large_operators,numeric,y,Percentage of listings from hosts with 21+ properties in the city. Indicates presence of major operators.,
median_host_listings,numeric,y,Median number of listings per host in the city. Higher values indicate more professionalized market.,
gini_host_concentration,numeric,y,Gini coefficient of host concentration (0-1). 0 = even distribution, 1 = highly concentrated (few hosts control most listings).,
market_professionalization_score,numeric,y,Composite professionalization score (0-100) based on % professional hosts, % large operators, median listings, and Gini coefficient.,
,,,,
Change control,,,,
Field,Change,,,
source,Added,,,
